name,demangled,address,type,size
compute_eigen,compute_eigen,0000000000005740,function,0
compute_fft,compute_fft,0000000000006a50,function,0
compute_histogram,compute_histogram,0000000000007330,function,0
compute_ifft,compute_ifft,0000000000006c10,function,0
compute_lu,compute_lu,0000000000005400,function,0
compute_mean,compute_mean,0000000000006fa0,function,0
compute_median,compute_median,0000000000007110,function,0
compute_qr,compute_qr,0000000000005680,function,0
compute_quantiles,compute_quantiles,00000000000071a0,function,0
compute_stddev,compute_stddev,00000000000070e0,function,0
compute_variance,compute_variance,0000000000007020,function,0
convolve,convolve,0000000000006e10,function,0
correlate,correlate,0000000000006ef0,function,0
create_cubic_spline,create_cubic_spline,0000000000007670,function,0
dense_matrix_copy,dense_matrix_copy,00000000000047b0,function,0
dense_matrix_create,dense_matrix_create,0000000000004700,function,0
dense_matrix_destroy,dense_matrix_destroy,0000000000004760,function,0
dense_matrix_resize,dense_matrix_resize,00000000000048d0,function,0
dense_matrix_set_identity,dense_matrix_set_identity,0000000000004850,function,0
dense_matrix_set_zero,dense_matrix_set_zero,0000000000004810,function,0
fft_result_destroy,fft_result_destroy,0000000000006dd0,function,0
fill_random_normal,fill_random_normal,00000000000079d0,function,0
fill_random_uniform,fill_random_uniform,0000000000007930,function,0
histogram_destroy,histogram_destroy,0000000000007510,function,0
line_search_backtracking,line_search_backtracking,00000000000060c0,function,0
matrix_add,matrix_add,0000000000004f50,function,0
matrix_determinant,matrix_determinant,0000000000005140,function,0
matrix_multiply,matrix_multiply,0000000000004e10,function,0
matrix_trace,matrix_trace,00000000000050b0,function,0
matrix_transpose,matrix_transpose,0000000000004ff0,function,0
matrix_vector_mult,matrix_vector_mult,0000000000004ca0,function,0
matrix_vector_mult_add,matrix_vector_mult_add,0000000000004d60,function,0
ode_result_destroy,ode_result_destroy,00000000000069d0,function,0
optimize_minimize,optimize_minimize,0000000000005da0,function,0
optimize_minimize_numerical_gradient,optimize_minimize_numerical_gradient,0000000000006200,function,0
polynomial_destroy,polynomial_destroy,0000000000007640,function,0
polynomial_eval,polynomial_eval,00000000000075b0,function,0
polynomial_fit,polynomial_fit,0000000000007550,function,0
print_matrix,print_matrix,0000000000007b00,function,0
print_vector,print_vector,0000000000007ba0,function,0
set_random_seed,set_random_seed,0000000000007900,function,0
solve_conjugate_gradient,solve_conjugate_gradient,0000000000005b00,function,0
solve_least_squares,solve_least_squares,0000000000005a70,function,0
solve_linear_system_lu,solve_linear_system_lu,0000000000005870,function,0
solve_linear_system_qr,solve_linear_system_qr,0000000000005a50,function,0
solve_ode_adaptive,solve_ode_adaptive,0000000000006960,function,0
solve_ode_rk4,solve_ode_rk4,0000000000006460,function,0
sparse_matrix_create,sparse_matrix_create,0000000000004a40,function,0
sparse_matrix_destroy,sparse_matrix_destroy,0000000000004ad0,function,0
spline_destroy,spline_destroy,00000000000078c0,function,0
spline_eval,spline_eval,00000000000077c0,function,0
status_to_string,status_to_string,0000000000007a70,function,0
vector_axpy,vector_axpy,0000000000004c00,function,0
vector_copy,vector_copy,0000000000004c70,function,0
vector_dot,vector_dot,0000000000004b10,function,0
vector_norm,vector_norm,0000000000004b80,function,0
vector_scale,vector_scale,0000000000004bb0,function,0
